mid,publish_time,user_name,user_link,content,weibo_link,forward_num,comment_num,like_num
4830640611263320,2022-10-31 14:32:12,巴拉巴拉废话仙,https://weibo.com/u/7300793312,好报警首先，达成法律和解的基础事实是认罪，这篇声明相当于是：刘强东在强奸犯罪事实下的畏罪和解。其次，英文稿中的misunderstanding应是“分歧”，参照后文的set aside differences，而不该翻译成有引导性的“误会”。最后，受害者jingyao的中文全名凭什么被媒体公示？下作。,https://weibo.com/7300793312/McR6l5iE8,0,0,0
4820818875648466,2022-10-04 12:04:09,-MAHyy-,https://weibo.com/u/7455708401,//@你的鲤律:首页里所有阴阳怪气说什么“看来是钱给到位的”都拉黑了，看来还是平时筛选关注筛选的太少，怎么这种傻逼还能被我看到啊//@是Ka什么ya:首先，达成法律和解的基础事实是认罪，这篇声明相当于是：刘强东在强奸犯罪事实下的畏罪和解。misunderstanding应是“分歧”而非“误会”,https://weibo.com/7455708401/M8JAPnHqi,0,0,0
4820254809393036,2022-10-02 22:42:44,我爱路飞哦,https://weibo.com/u/1807867212,///@是Ka什么ya:首先，达成法律和解的基础事实是认罪，这篇声明相当于是：刘强东在强奸犯罪事实下的畏罪和解。其次，英文稿中的misunderstanding应是“分歧”，参照后文的set aside differences，而不该翻译成有引导性的“误会”。最后，受害者jingyao的中文全名凭什么被媒体公示？下作。,https://weibo.com/1807867212/M8uV2DpyA,0,0,1
4820211469913078,2022-10-02 19:50:32,胖儿与HDP,https://weibo.com/u/7498138259,//@是Ka什么ya:首先，达成法律和解的基础事实是认罪，这篇声明相当于是：刘强东在强奸犯罪事实下的畏罪和解。其次，英文稿中的misunderstanding应是“分歧”，参照后文的set aside differences，而不该翻译成有引导性的“误会”。最后，受害者jingyao的中文全名凭什么被媒体公示？下作,https://weibo.com/7498138259/M8tN8FAQm,0,0,1
4820178938888478,2022-10-02 17:41:15,圈圈圆圆圈圈的圆圈圈,https://weibo.com/u/5269022904,//@你的鲤律:首页里所有阴阳怪气说什么“看来是钱给到位的”都拉黑了，看来还是平时筛选关注筛选的太少，怎么这种傻逼还能被我看到啊//@是Ka什么ya:首先，达成法律和解的基础事实是认罪，这篇声明相当于是：刘强东在强奸犯罪事实下的畏罪和解。misunderstanding应是“分歧”而非“误会”,https://weibo.com/5269022904/M8sWFBiiy,0,0,0
4820178108154198,2022-10-02 17:37:57,柠檬椰子树Tree,https://weibo.com/u/7349349301,//@你的鲤律:首页里所有阴阳怪气说什么“看来是钱给到位的”都拉黑了，看来还是平时筛选关注筛选的太少，怎么这种傻逼还能被我看到啊//@是Ka什么ya:首先，达成法律和解的基础事实是认罪，这篇声明相当于是：刘强东在强奸犯罪事实下的畏罪和解。misunderstanding应是“分歧”而非“误会”,https://weibo.com/7349349301/M8sVkydhk,0,0,0
4820176451931806,2022-10-02 17:31:23,琥皮蛋糕,https://weibo.com/u/2710102670,//@你的鲤律:首页里所有阴阳怪气说什么“看来是钱给到位的”都拉黑了，看来还是平时筛选关注筛选的太少，怎么这种傻逼还能被我看到啊//@是Ka什么ya:首先，达成法律和解的基础事实是认罪，这篇声明相当于是：刘强东在强奸犯罪事实下的畏罪和解。misunderstanding应是“分歧”而非“误会”,https://weibo.com/2710102670/M8sSF86ya,0,0,1
4820174497125801,2022-10-02 17:23:37,清晴雅正为欢几何,https://weibo.com/u/5838260782,//@是Ka什么ya:首先，达成法律和解的基础事实是认罪，这篇声明相当于是：刘强东在强奸犯罪事实下的畏罪和解。其次，英文稿中的misunderstanding应是“分歧”，参照后文的set aside differences，而不该翻译成有引导性的“误会”。最后，受害者jingyao的中文全名凭什么被媒体公示？下作。,https://weibo.com/5838260782/M8sPvtTKh,0,0,0
4820174421100636,2022-10-02 17:23:19,斯普荛特,https://weibo.com/u/5622079137,//@是Ka什么ya:首先，达成法律和解的基础事实是认罪，这篇声明相当于是：刘强东在强奸犯罪事实下的畏罪和解。其次，英文稿中的misunderstanding应是“分歧”，参照后文的set aside differences，而不该翻译成有引导性的“误会”。最后，受害者jingyao的中文全名凭什么被媒体公示？下作。,https://weibo.com/5622079137/M8sPo4Ckc,0,0,1
4820173313279184,2022-10-02 17:18:55,你的鲤律,https://weibo.com/u/7436178603,首页里所有阴阳怪气说什么“看来是钱给到位的”都拉黑了，看来还是平时筛选关注筛选的太少，怎么这种傻逼还能被我看到啊//@是Ka什么ya:首先，达成法律和解的基础事实是认罪，这篇声明相当于是：刘强东在强奸犯罪事实下的畏罪和解。misunderstanding应是“分歧”而非“误会”,https://weibo.com/7436178603/M8sNBdL44,5,1,13
